4425,70.8,128,33.4,39,0.19,0.63,331.5,116,15.88,162,,162,29.17,70.83,6.75,33.36,-23.56,9.8,,5.66,0.11,0.6,1.9,1.19,3.3,7,,42.2,4.17,0.54,0.15,0.25,0.94,,99.06,,,3.18,3.18,37.82,0.84,41.84,58.16,0.3,0.22,1.9,0.72,4.73,,,77.22,,0.11,0
3386,34.7,9,0.5,-6,-0.14,0.86,,45,9.3,193,-18,176,65.33,34.67,31.65,0.53,-0.72,-0.19,,-0.39,1.53,-0.6,2.37,-1.48,0.44,-33.15,1.08,10.82,-27.27,9.39,16.47,3.82,36.23,26.16,11.35,11.51,17.03,1.65,30.19,20.11,7.53,57.83,42.17,1.2,0.86,2.37,0.47,44.3,35.52,33.91,8.24,5.75,1.53,0
9939,,175,4.2,51,0.24,0.24,65.6,218,23.22,121,,121,,,8.25,4.22,,4.22,70.65,1.24,0.13,0.16,6.65,1.07,,-7.4,,2.94,2.37,2.18,,,,,,,,,,11.54,,84.97,15.03,,,6.65,0.77,,,,,,0.13,1
4570,17.5,4,3.7,4,0.11,,,37,2.33,11,0,11,82.46,17.54,13.85,3.68,1.16,4.84,21.24,3.81,1,3.83,1.19,4.59,3.49,156.12,0.19,10.58,2.77,21.75,1.61,2.31,46.95,12.08,37.3,1.83,8.38,,10.21,,5.84,16.05,83.95,4.6,2.29,1.19,,4.41,8.45,86.6,82.69,7.85,1,1
2713,,102,9.2,70,2.31,0.31,13.5,30,28.49,359,-6,353,,,,9.17,,9.17,32.52,6.27,0.08,0.49,16.42,12.43,,72.95,0.51,31.7,5.06,1.51,0.18,,,0.12,,0.01,,,,2.6,,93.89,6.11,,,16.42,0.43,,,,,55.17,0.08,1
5166,31.6,53218,13.9,30460,6.22,1.74,27.9,4897,29.49,48413,-26871,21542,68.45,31.55,3.83,13.89,-0.07,13.82,40.71,7.95,1.43,11.37,2.06,23.67,21.72,23.39,7.01,5.62,0.71,2.59,10.67,1.95,19.5,65.96,14.54,10.17,,4.12,20.7,4.04,26.71,51.46,48.54,0.94,0.64,2.06,0.08,28.54,38.28,7.33,12.79,2.26,1.43,1
6466,45.4,424,25.3,235,2.69,,,87,13.96,306,-53,253,54.61,45.39,18.59,25.32,-3.1,22.21,36.25,14.01,0.58,8.07,2.65,20.9,11.23,16.44,3.18,15.08,1.08,0.72,9.15,2.42,12.29,9.25,1.02,2.1,4.23,0.61,10.29,40.42,11.58,62.29,37.71,1.19,0.96,2.65,1.07,55.13,25.35,,6.62,5.97,0.58,0
9720,30,101,8.1,60,3.94,,,15,17.76,82,-8,74,70.01,29.99,21.86,8.13,-0.5,7.63,36.4,4.84,2.06,9.98,2.14,23.83,13.68,13.16,0.62,6,1.24,0.86,30.22,1.64,49.29,9.17,0.95,12.41,3.22,3.51,23.41,26.5,3.45,53.37,46.63,2.11,1.33,2.14,0.57,53.92,32.17,65.15,6.77,21.23,2.06,0
8225,74.2,406,21.3,292,1.23,,,236,6.47,374,-128,246,25.85,74.15,36.71,21.35,-0.91,20.44,25.03,15.43,0.9,13.96,1.5,20.82,18.56,13.17,6.72,12.96,0.84,23.47,15.64,6.39,58.15,16.8,4.71,3.36,10.06,0.39,15.64,8.52,9.25,33.41,66.59,3.72,2.5,1.5,0.13,58.11,58.93,199.29,6.28,5.61,0.9,1
5686,27.6,-705,-5.1,-1390,-1.67,1.24,73.1,833,23.39,2597,-1041,1556,72.41,27.59,,-5.11,,100,,-10.07,0.41,-4.09,1.98,-7.78,-4.32,5.64,7.54,11.27,-1.12,1.3,6.11,4.64,12.05,9.7,3.11,,,12.84,14.18,22.05,13.26,49.49,50.51,0.85,0.52,1.98,0.44,51.17,,,7.13,5.86,0.41,0
9374,66,80,15,58,1.02,,,57,6,54,-13,41,34.43,65.57,39.37,14.57,-0.73,13.84,26.42,10.67,1.34,14.33,1.34,19.48,19.46,10.95,2.38,7.55,0.71,21.76,20.02,7.23,61.96,5.67,20.77,6.38,11.97,4.76,23.66,,1.92,25.58,74.42,2.62,1.77,1.34,,48.25,53.31,95.84,7.57,22.43,1.34,1
4414,28,12,7.1,-6,-0.36,,,17,4.27,11,-2,9,72.03,27.97,15.61,7.11,-0.6,6.52,,-3.46,1.45,-5.02,1.56,-8.14,-5.69,3.76,1.09,5.45,-1.47,4.04,29.84,3.15,65.88,12.61,0.24,14.29,2.07,15.24,31.65,,4.11,35.76,64.24,2.08,1.07,1.56,,68.18,49.2,113.86,5.35,11.47,1.45,0
5798,29,-3,-38,-3,-0.08,,,39,,-2,0,-3,71.05,28.95,39.43,-38.03,-3.38,-41.42,,-38.52,0.74,-28.66,1.68,-42.72,-37.45,28.09,4.48,-35.15,0.91,30.24,15.02,1.35,59.01,29.06,7.78,6.53,6.34,0.79,13.66,5.19,0.57,19.42,80.58,4.32,3.31,1.68,0.09,46.55,31.92,80.8,7.84,2.8,0.74,0
3549,18.5,76,8.1,47,0.67,,,71,5.97,115,-46,70,81.54,18.46,5.65,8.05,-0.32,7.73,32.26,5.04,1.47,7.39,1.57,12.17,9.8,7.03,4.83,7.39,1.47,7.08,1.86,1.08,11.22,68.92,1.03,4.21,5.96,5.24,16.34,,20.16,36.51,63.49,0.69,0.55,1.57,0.24,4.31,14.26,-6.12,84.76,2.07,1.47,0
6248,22.7,726,5.6,512,2.6,0.5,,197,,577,-264,313,77.27,22.73,11,5.57,-0.93,4.65,22.36,3.93,0.65,2.55,5.12,13.14,14.08,-0.73,2.03,2.4,0.61,11.17,22.35,18.15,63.18,7.09,8.24,29.09,,36.81,68.25,,12.2,80.45,19.55,0.93,0.49,5.12,,121.74,200.99,6.47,3,9.17,0.65,0
11243,28.2,5831,14.5,4239,5.33,1.87,33.8,795,24.21,5024,-1094,3930,71.84,28.16,13.69,14.47,-0.03,14.43,25.59,10.52,0.89,9.33,2.57,24.14,16.72,3.2,2.71,9.75,0.93,15.31,17.51,6.31,48.82,11.84,6.34,11.8,14.9,,32.5,13.3,15.35,61.15,38.85,1.5,1.01,2.57,0.34,67,66.42,55.4,5.45,7.56,0.89,0
13956,14.6,2665,7.3,2031,5.16,1,19,393,25.61,3386,-1807,1579,85.4,14.6,4.39,7.31,0.32,7.63,25.4,5.57,1.72,9.61,2.31,21.68,17.14,13.42,4.96,4.33,0.78,4.32,27.32,0.97,45.04,31.12,12.57,24.06,10.67,,38.53,10.61,7.57,56.71,43.29,1.17,0.82,2.31,0.25,58.11,59.67,29.91,6.28,5.6,1.72,0
